abbreviation	taxid_code	Species_name	Common_name	Order	Class	Taxonomic_Classification	Source	Phagy	Vory
LinHum	83485	Linepithema_humile	Argentine ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Omnivore
LocMig	7004	Locusta_migratoria	migratory locust	Orthoptera	Insecta	Orthoptera	OrthoDB 10v1	oligophagous	Herbivore
LucCup	7375	Lucilia_cuprina	Australian sheep blowfly	Diptera	Insecta	Diptera	OrthoDB 10v1	oligophagous	Omnivore
LutLon	7200	Lutzomyia_longipalpis	sandfly	Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
MacCin	535359	Macrocentrus_cingulum		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	oligophagous	carnivore
ManSex	7130	Manduca_sexta	tobacco hornworm	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1	oligophagous	Herbivore
MayDes	39758	Mayetiola_destructor	Hessian fly	Diptera	Insecta	Diptera	OrthoDB 10v1	oligophagous	Herbivore
MedExt	614211	Medauroidea_extradentata	Stick bug	Phasmatodea	Insecta	Phasmatodea	i5k	????	????
MegRot	143995	Megachile_rotundata	alfalfa leafcutting bee	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Herbivore
MelCin	113334	Melitaea_cinxia	Glanville fritillary	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1	oligophagous	Herbivore
MelQua	166423	Melipona_quadrifasciata		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Herbivore
MenMol	1155016	Mengenilla_moldrzyki	i5k	Strepsiptera	Insecta	Strepsiptera	OrthoDB 10v1	????	????
MicDem	69319	Microplitis_demolitor		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	oligophagous	Carnivore
MonPha	307658	Monomorium_pharaonis	pharaoh ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Omnivore
MusDom	7370	Musca_domestica	house fly	Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
MyzCer	93721	Myzus_cerasi	Black Cherry Aphid	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1	oligophagous	Herbivore
MyzPer	13164	Myzus_persicae	green peach aphid	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1	polyphagous	Herbivore
NasVit	7425	Nasonia_vitripennis	jewel wasp	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	oligophagous	Carnivore
NeoLec	441921	Neodiprion_lecontei	red pine sawfly	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	oligophagous	Herbivore
NezVir	85310	Nezara_viridula	southern green stink bug	Hemiptera	Insecta	Hemiptera	Denecke et. al 2020	polyphagous	Herbivore
NicVes	110193	Nicrophorus_vespilloides		Coleoptera	Insecta	Coleoptera	OrthoDB 10v1	polyphagous	Carnivore
NilLug	108931	Nilaparvata_lugens	brown planthopper	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1	oligophagous	Herbivore
NylFul	613905	Nylanderia_fulva		Hymenoptera	Insecta	Hymenoptera	i5k	????	????
OncFas	7536	Oncopeltus_fasciatus	large milkweed bug	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1	oligophagous	Herbivore
OntTau	166361	Onthophagus_taurus	horned dung beetle	Coleoptera	Insecta	Coleoptera	OrthoDB 10v1	oligophagous	Omnivore
OocBir	2015173	Ooceraea_biroi	clonal raider ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	oligophagous	Carnivore
OpeBru	104452	Operophtera_brumata	winter moth	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1	oligophagous	Herbivore
OrcCin	48709	Orchesella_cincta		Collembola	Entognatha	Collembola	OrthoDB 10v1	polyphagous	Omnivore
OruAbi	222816	Orussus_abietinus		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	oligophagous	Carnivore
OryBor	1629725	Oryctes_borbonicus	i5k	Coleoptera	Insecta	Coleoptera	OrthoDB 10v1	????	Herbivore
OstFur	93504	Ostrinia_furnacalis		Lepidoptera	Insecta	Lepidoptera	Lepbase	????	????
PacVen	38123	Pachypsylla_venusta	hackberry petiole gall psyllid	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1	oligophagous	Herbivore
PapGla	45779	Papilio_glaucus	eastern tiger swallowtail	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1	????	Herbivore
PapPol	76194	Papilio_polytes	common Mormon	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1	oligophagous	Herbivore
PapXut	66420	Papilio_xuthus	Asian swallowtail	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1	oligophagous	Herbivore
ParHaw	317513	Parhyale_hawaiensis	amphipods	Amphipoda	Crustacea	Crustacea	Pavlopoulos	????	????
ParTep	114398	Parasteatoda_tepidariorum	common house spider	Araneae	Arachnida	Arachnida	OrthoDB 10v1	polyphagous	Carnivore
PedHum	121225	Pediculus_humanus		Phthiraptera	Insecta	Phthiraptera	OrthoDB 10v1	oligophagous	Carnivore
PhlPap	29031	Phlebotomus_papatasi	sandfly	Diptera	Insecta	Diptera	OrthoDB 10v1	oligophagous	Omnivore
PhoSen	40077	Phoebis_sennae		Lepidoptera	Insecta	Lepidoptera	i5k	????	????
PieRap	64459	Pieris_rapae	cabbage white	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1	oligophagous	Herbivore
PluXyl	51655	Plutella_xylostella	diamondback moth	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1	oligophagous	Herbivore
PogBar	144034	Pogonomyrmex_barbatus	red harvester ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Herbivore
PolCan	91411	Polistes_canadensis	neotropical red paper wasp	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Carnivore
PolNub	54969	Polypedilum_nubifer		Diptera	Insecta	Diptera	OrthoDB 10v1	oligophagous	Herbivore
PolVan	319348	Polypedilum_vanderplanki	sleeping chironomid	Diptera	Insecta	Diptera	OrthoDB 10v1	oligophagous	Herbivore
PseGra	219809	Pseudomyrmex_gracilis	Elongate twig ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Omnivore
RhaZep	28612	Rhagoletis_zephyria	snowberry fruit fly	Diptera	Insecta	Diptera	OrthoDB 10v1	oligophagous	Herbivore
RhoPad	40932	Rhopalosiphum_padi	Birdcherry aphid	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1	polyphagous	Herbivore
RhoPro	13249	Rhodnius_prolixus		Hemiptera	Insecta	Hemiptera	OrthoDB 10v1	polyphagous	Carnivore
SarSca	52283	Sarcoptes_scabiei	itch mite	Sarcoptiformes	Arachnida	Arachnida	OrthoDB 10v1	oligophagous	Carnivore
SolInv	13686	Solenopsis_invicta	red fire ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Omnivore
SpoFru	7108	Spodoptera_frugiperda	Fall armyworm	Lepidoptera	Insecta	Lepidoptera	https://www.biorxiv.org/content/10.1101/671560v4	polyphagous	Omnivore
SpoLit	69820	Spodoptera_litura	tobacco cutworm	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1	polyphagous	Herbivore
SteMim	407821	Stegodyphus_mimosarum	African social velvet spider	Araneae	Arachnida	Arachnida	OrthoDB 10v1	polyphagous	Carnivore
StoCal	35570	Stomoxys_calcitrans	stable fly	Diptera	Insecta	Diptera	OrthoDB 10v1	oligophagous	Omnivore
StrMar	126957	Strigamia_maritima		Geophilomorpha	Chilopoda	Geophilomorpha	OrthoDB 10v1	oligophagous	Carnivore
TetUrt	32264	Tetranychus_urticae	two spotted spider mite	Trombidiformes	Arachnida	Arachnida	OrthoDB 10v1	polyphagous	Herbivore
TigCal	6832	Tigriopus_californicus		Harpacticoida	Crustacea	Crustacea	OrthoDB 10v1	oligophagous	Omnivore
TraSep	34720	Trachymyrmex_septentrionalis		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Herbivore
TriCas	7070	Tribolium_castaneum	red flour beetle	Coleoptera	Insecta	Coleoptera	OrthoDB 10v1	polyphagous	Herbivore
TriNix	7111	Trichoplusia_ni	Cabbage looper	Lepidoptera	Insecta	Lepidoptera	NCBI	polyphagous	Omnivore
TriPre	7493	Trichogramma_pretiosum		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Omnivore
TroMer	418985	Tropilaelaps_mercedesae		Mesostigmata	Arachnida	Arachnida	OrthoDB 10v1	oligophagous	Carnivore
VarDes	109461	Varroa_destructor		Mesostigmata	Arachnida	Arachnida	i5k	????	????
VarJac	62625	Varroa_jacobsoni		Mesostigmata	Arachnida	Arachnida	OrthoDB 10v1	oligophagous	Carnivore
VolEme	411798	Vollenhovia_emeryi		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Omnivore
WasAur	64793	Wasmannia_auropunctata	electric ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Omnivore
ZeuCuc	28588	Zeugodacus_cucurbitae	melon fly	Diptera	Insecta	Diptera	OrthoDB 10v1	oligophagous	Herbivore
ZooNev	136037	Zootermopsis_nevadensis		Blattodea	Insecta	Blattodea	OrthoDB 10v1	polyphagous	Herbivore
